type,question
a,본인이 완곡할 수 있는 군가가 현재 5곡이 넘는다.
a,전투화를 일주일에 평균 2회이상 닦는다.
a,작업 3시간보다 훈련2시간이 낫다.
a,군대에서 친한 사람 3명을 떠올릴 때 선임이 2명 이상이다.
a,적.녹.백.황이라는 단어를 봤을 때 각 단어가 뜻하는 바를 바로바로 떠오른다.
a,본인은 PX를 부대원들에 비해 평균적으로 적게 이용한다.
a,본인은 흡연자이다.
a,군대에서 공부연등을 주 3회 이상 실시한다.
a,군대에서 시험 공부 혹은 자격증을 준비한다.
a,체단 시간 제외하고 개인 정비 시간에 일주일에 3회 이상 체단실에서 체단한다.
a,군생활 중에 특급전사를 단적이 있다.
a,정신전력 교육시간보다 치장 창고 정리 작업이 더 편하다.
a,친한 후임과 있을 때보다 친한 선임과 있을 때 더 편하다.
a,본인은 종교활동을 하고 있다.
a,간부님들께서 전문하사를 하라고 권유하신적이 있다.
a,관물대 겉과 속이 다르다.
a,본인은 지금 당장 군장 검사를 해도 아무 꺼리낌 없이 당당하게 할 수 있다.
a,후임을 닦은 적이 한 번이라도 있다.
a,병기본 평가로 인해 진급 누락을 한적이 있다.
a,여자친구와 이별로 인해 힘들어하는 후임에게 본인의 포상휴가 3박 4일을 양보할 수 있다.
a,"결식한적이 한 번이라도 있다.(휴가, 혹은 질병 등 합리적 이유 제외)"
a,선임들에게 눈치 없다고 혼난적이 있다.
a,본인이 분대장이거나 분대장(진)이다.
a,리모컨이 당장 주어진다면 10초이내에 트와이스 뮤비를 틀 수 있다.
a,본인이 풋살을 잘한다.
a,본인의 카메라는 현재 국방모바일보안으로 사용할 수가 없다.
a,"후임들에게 PX에서 간식, 생필품으로 2만원이상 사용했다."
a,부대 밥이 맛있어서 다른 부대원들보다 밥을 많이 먹거나 기다렸다가 추가 배식을 자주 한다.